county,team,pop
36049,MAR,0
36049,MEX,19
36049,NED,0
36049,NOR,0
36049,NZL,0
36049,PAN,0
36049,PAR,0
36049,POR,0
36049,QAT,0
36049,RSA,0
36049,SCO,0
36049,SEN,0
36049,SUI,0
36049,SWE,0
36049,TUN,0
36049,TUR,0
36049,URU,0
36049,UZB,0
08117,ALG,0
08117,ARG,33
08117,AUS,96
08117,AUT,26
08117,BEL,0
08117,BIH,0
08117,BRA,110
08117,CAN,156
08117,CIV,0
08117,COD,0
08117,COL,89
08117,CPV,0
08117,CRO,0
08117,CUW,0
08117,CZE,39
08117,ECU,0
08117,EGY,0
08117,ENG,0
08117,ESP,16
08117,FRA,0
08117,GER,20
08117,GHA,0
08117,HAI,0
08117,IRN,11
08117,IRQ,0
08117,JOR,0
08117,JPN,53
08117,KOR,7
08117,KSA,0
08117,MAR,0
08117,MEX,1057
08117,NED,0
08117,NOR,0
08117,NZL,49
08117,PAN,0
08117,PAR,0
08117,POR,0
08117,QAT,0
08117,RSA,15
08117,SCO,10
08117,SEN,0
08117,SUI,0
08117,SWE,0
08117,TUN,0
08117,TUR,45
08117,URU,0
08117,UZB,0
40003,ALG,0
40003,ARG,0
40003,AUS,0
40003,AUT,0
40003,BEL,0
40003,BIH,0
40003,BRA,0
40003,CAN,15
40003,CIV,0
40003,COD,0
40003,COL,0
40003,CPV,0
40003,CRO,0
40003,CUW,0
40003,CZE,0
40003,ECU,0
40003,EGY,0
40003,ENG,0
40003,ESP,0
40003,FRA,0
40003,GER,0
40003,GHA,0
40003,HAI,0
40003,IRN,0
40003,IRQ,0
40003,JOR,0
40003,JPN,0
40003,KOR,0
40003,KSA,0
40003,MAR,0
40003,MEX,48
40003,NED,0
40003,NOR,0
40003,NZL,0
40003,PAN,0
40003,PAR,0
40003,POR,0
40003,QAT,0
40003,RSA,18
40003,SCO,0
40003,SEN,0
40003,SUI,0
40003,SWE,0
40003,TUN,0
40003,TUR,0
40003,URU,0
40003,UZB,0
12055,ALG,0
12055,ARG,79
12055,AUS,22
12055,AUT,23
12055,BEL,0
12055,BIH,8
12055,BRA,49
12055,CAN,446
12055,CIV,0
12055,COD,0
12055,COL,295
12055,CPV,0
12055,CRO,0
12055,CUW,7
12055,CZE,0
12055,ECU,128
12055,EGY,27
12055,ENG,80
12055,ESP,101
12055,FRA,24
12055,GER,437
12055,GHA,0
12055,HAI,636
12055,IRN,0
12055,IRQ,0
12055,JOR,0
12055,JPN,35
12055,KOR,38
12055,KSA,0
12055,MAR,9
12055,MEX,3096
12055,NED,28
12055,NOR,0
12055,NZL,0
12055,PAN,10
12055,PAR,0
12055,POR,10
12055,QAT,0
12055,RSA,0
12055,SCO,0
12055,SEN,0
12055,SUI,16
12055,SWE,24
12055,TUN,0
12055,TUR,0
12055,URU,98
12055,UZB,0
19061,ALG,0
19061,ARG,0
19061,AUS,0
19061,AUT,0
19061,BEL,0
19061,BIH,170
19061,BRA,7
19061,CAN,87
19061,CIV,0
19061,COD,0
19061,COL,20
19061,CPV,0
19061,CRO,0
19061,CUW,0
19061,CZE,13
19061,ECU,0
19061,EGY,0
19061,ENG,63
19061,ESP,6
19061,FRA,16
19061,GER,48
19061,GHA,90
19061,HAI,0
19061,IRN,16
19061,IRQ,40
19061,JOR,17
19061,JPN,18
19061,KOR,60
19061,KSA,0
19061,MAR,8
19061,MEX,567
19061,NED,0
19061,NOR,0
19061,NZL,0
19061,PAN,8
19061,PAR,0
19061,POR,0
19061,QAT,0
19061,RSA,7
19061,SCO,8
19061,SEN,0
19061,SUI,0
19061,SWE,12
19061,TUN,0
19061,TUR,0
19061,URU,0
19061,UZB,0
27163,ALG,0
27163,ARG,140
27163,AUS,84
27163,AUT,0
27163,BEL,0
27163,BIH,0
27163,BRA,161
27163,CAN,442
27163,CIV,0
27163,COD,0
27163,COL,173
27163,CPV,111
27163,CRO,0
27163,CUW,0
27163,CZE,34
27163,ECU,131
27163,EGY,9
27163,ENG,150
27163,ESP,4
27163,FRA,66
27163,GER,392
27163,GHA,157
27163,HAI,718
27163,IRN,130
27163,IRQ,25
27163,JOR,0
27163,JPN,71
27163,KOR,785
27163,KSA,0
27163,MAR,49
27163,MEX,2556
27163,NED,16
27163,NOR,12
27163,NZL,0
27163,PAN,25
27163,PAR,0
27163,POR,33
27163,QAT,0
27163,RSA,156
27163,SCO,0
27163,SEN,0
27163,SUI,41
27163,SWE,47
27163,TUN,0
27163,TUR,56
27163,URU,189
27163,UZB,0
13101,ALG,0
13101,ARG,0
13101,AUS,0
13101,AUT,0
13101,BEL,0
13101,BIH,0
13101,BRA,0
13101,CAN,0
13101,CIV,0
13101,COD,0
13101,COL,8
13101,CPV,0
13101,CRO,0
13101,CUW,0
13101,CZE,0
13101,ECU,0
13101,EGY,0
13101,ENG,0
13101,ESP,0
13101,FRA,13
13101,GER,14
13101,GHA,0
13101,HAI,0
13101,IRN,0
13101,IRQ,0
13101,JOR,0
13101,JPN,0
13101,KOR,40
13101,KSA,0
13101,MAR,0
13101,MEX,194
13101,NED,0
13101,NOR,0
13101,NZL,0
13101,PAN,0
13101,PAR,0
13101,POR,0
13101,QAT,0
13101,RSA,0
13101,SCO,0
13101,SEN,0
13101,SUI,0
13101,SWE,0
13101,TUN,0
13101,TUR,0
13101,URU,0
13101,UZB,0
31097,ALG,0
31097,ARG,0
31097,AUS,0
31097,AUT,0
31097,BEL,0
31097,BIH,0
31097,BRA,0
31097,CAN,0
31097,CIV,0
31097,COD,0
31097,COL,4
31097,CPV,0
31097,CRO,0
31097,CUW,0
31097,CZE,0
31097,ECU,0
31097,EGY,0
31097,ENG,3
31097,ESP,0
31097,FRA,0
31097,GER,27
31097,GHA,3
31097,HAI,0
31097,IRN,0
31097,IRQ,0
31097,JOR,0
31097,JPN,0
31097,KOR,1
31097,KSA,0
31097,MAR,0
31097,MEX,102
31097,NED,0
31097,NOR,0
31097,NZL,0
31097,PAN,0
31097,PAR,0
31097,POR,0
31097,QAT,0
31097,RSA,0
31097,SCO,0
31097,SEN,0
31097,SUI,0
31097,SWE,0
31097,TUN,0
31097,TUR,0
31097,URU,0
31097,UZB,0
39103,ALG,0
39103,ARG,119
39103,AUS,7
39103,AUT,61
39103,BEL,0
39103,BIH,29
39103,BRA,78
39103,CAN,468
39103,CIV,42
39103,COD,0
39103,COL,0
39103,CPV,0
39103,CRO,84
39103,CUW,0
39103,CZE,31
39103,ECU,70
39103,EGY,52
39103,ENG,257
39103,ESP,9
39103,FRA,10
39103,GER,460
39103,GHA,0
39103,HAI,33
39103,IRN,13
39103,IRQ,10
39103,JOR,6
39103,JPN,55
39103,KOR,72
39103,KSA,0
39103,MAR,8
39103,MEX,203
39103,NED,0
39103,NOR,0
39103,NZL,0
39103,PAN,15
39103,PAR,0
39103,POR,10
39103,QAT,0
39103,RSA,0
39103,SCO,30
39103,SEN,0
39103,SUI,0
39103,SWE,0
39103,TUN,0
39103,TUR,21
39103,URU,29
39103,UZB,0
13095,ALG,0
13095,ARG,0
13095,AUS,28
13095,AUT,0
13095,BEL,0
13095,BIH,0
13095,BRA,0
13095,CAN,26
13095,CIV,0
13095,COD,0
