fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
06037,59.0,148.0,0.0,60.0,150.0,1667.0,115.0,142.0,0.0,20090.0,139.0,64.0,0.0,0.0,27.0,125.0,63.0,188.0,192.0,0.0,243.0,18.0,0.0,130.0,0.0,10.0,0.0,48.0,0.0,4.0,1716.0
04013,0.0,0.0,0.0,54.0,32.0,18.0,0.0,95.0,0.0,6650.0,9.0,33.0,0.0,11.0,0.0,0.0,33.0,106.0,6.0,0.0,167.0,0.0,0.0,28.0,83.0,0.0,0.0,10.0,63.0,0.0,38.0
06001,0.0,0.0,0.0,14.0,0.0,62.0,8.0,0.0,0.0,285.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,65.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47.0
41039,0.0,0.0,0.0,0.0,9.0,0.0,16.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,39.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,12.0,0.0,0.0,5.0,12.0,19.0,29.0,24.0,0.0,287.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,0.0,17.0,5.0,0.0,0.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0
09001,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06041,0.0,0.0,0.0,0.0,36.0,17.0,0.0,0.0,0.0,182.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
20061,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48029,0.0,26.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
36067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34017,0.0,142.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
06059,41.0,0.0,0.0,12.0,29.0,155.0,0.0,25.0,9.0,5091.0,39.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,80.0,0.0,62.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0
24043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
