county,team,pop
37187,BRA,0
37187,CAN,0
37187,CHN,0
37187,COL,0
37187,CRC,0
37187,DEN,0
37187,ENG,0
37187,FRA,0
37187,GER,0
37187,HTI,0
37187,ITA,0
37187,JAM,0
37187,JPN,0
37187,KOR,0
37187,MAR,0
37187,NED,0
37187,NZL,0
37187,NGA,0
37187,NOW,0
37187,PAN,0
37187,PHL,0
37187,POR,0
37187,IRL,0
37187,ZAF,0
37187,ESP,0
37187,SWE,0
37187,SUI,0
37187,VNM,0
37187,ZMB,56
47073,ARG,0
47073,AUS,0
47073,BRA,0
47073,CAN,67
47073,CHN,0
47073,COL,0
47073,CRC,0
47073,DEN,0
47073,ENG,13
47073,FRA,0
47073,GER,10
47073,HTI,0
47073,ITA,0
47073,JAM,0
47073,JPN,18
47073,KOR,16
47073,MAR,0
47073,NED,0
47073,NZL,0
47073,NGA,0
47073,NOW,0
47073,PAN,0
47073,PHL,10
47073,POR,0
47073,IRL,0
47073,ZAF,0
47073,ESP,0
47073,SWE,0
47073,SUI,0
47073,VNM,0
47073,ZMB,192
02066,ARG,0
02066,AUS,3
02066,BRA,0
02066,CAN,0
02066,CHN,0
02066,COL,0
02066,CRC,0
02066,DEN,0
02066,ENG,0
02066,FRA,15
02066,GER,0
02066,HTI,0
02066,ITA,0
02066,JAM,0
02066,JPN,0
02066,KOR,11
02066,MAR,0
02066,NED,0
02066,NZL,0
02066,NGA,0
02066,NOW,0
02066,PAN,0
02066,PHL,1
02066,POR,0
02066,IRL,0
02066,ZAF,0
02066,ESP,0
02066,SWE,0
02066,SUI,0
02066,VNM,0
02066,ZMB,10
32015,ARG,0
32015,AUS,0
32015,BRA,0
32015,CAN,0
32015,CHN,0
32015,COL,0
32015,CRC,0
32015,DEN,0
32015,ENG,0
32015,FRA,8
32015,GER,0
32015,HTI,0
32015,ITA,0
32015,JAM,0
32015,JPN,0
32015,KOR,0
32015,MAR,0
32015,NED,0
32015,NZL,0
32015,NGA,0
32015,NOW,0
32015,PAN,0
32015,PHL,23
32015,POR,0
32015,IRL,0
32015,ZAF,10
32015,ESP,0
32015,SWE,0
32015,SUI,0
32015,VNM,0
32015,ZMB,28
49027,ARG,10
49027,AUS,0
49027,BRA,4
49027,CAN,3
49027,CHN,73
49027,COL,0
49027,CRC,0
49027,DEN,0
49027,ENG,28
49027,FRA,0
49027,GER,5
49027,HTI,0
49027,ITA,0
49027,JAM,0
49027,JPN,4
49027,KOR,70
49027,MAR,0
49027,NED,4
49027,NZL,0
49027,NGA,0
49027,NOW,1
49027,PAN,0
49027,PHL,4
49027,POR,6
49027,IRL,5
49027,ZAF,4
49027,ESP,0
49027,SWE,0
49027,SUI,0
49027,VNM,0
49027,ZMB,46
21141,ARG,0
21141,AUS,0
21141,BRA,0
21141,CAN,1
21141,CHN,17
21141,COL,0
21141,CRC,0
21141,DEN,0
21141,ENG,0
21141,FRA,0
21141,GER,17
21141,HTI,0
21141,ITA,0
21141,JAM,0
21141,JPN,0
21141,KOR,10
21141,MAR,0
21141,NED,1
21141,NZL,0
21141,NGA,0
21141,NOW,0
21141,PAN,0
21141,PHL,1
21141,POR,0
21141,IRL,0
21141,ZAF,0
21141,ESP,0
21141,SWE,0
21141,SUI,0
21141,VNM,0
21141,ZMB,82
54045,ARG,0
54045,AUS,0
54045,BRA,0
54045,CAN,0
54045,CHN,0
54045,COL,0
54045,CRC,0
54045,DEN,0
54045,ENG,0
54045,FRA,0
54045,GER,14
54045,HTI,0
54045,ITA,7
54045,JAM,0
54045,JPN,105
54045,KOR,0
54045,MAR,0
54045,NED,0
54045,NZL,0
54045,NGA,0
54045,NOW,0
54045,PAN,0
54045,PHL,2
54045,POR,0
54045,IRL,0
54045,ZAF,0
54045,ESP,0
54045,SWE,0
54045,SUI,0
54045,VNM,2
54045,ZMB,130
23003,ARG,27
23003,AUS,0
23003,BRA,43
23003,CAN,1954
23003,CHN,72
23003,COL,0
23003,CRC,0
23003,DEN,0
23003,ENG,12
23003,FRA,0
23003,GER,41
23003,HTI,0
23003,ITA,7
23003,JAM,3
23003,JPN,7
23003,KOR,28
23003,MAR,57
23003,NED,0
23003,NZL,0
23003,NGA,44
23003,NOW,0
23003,PAN,0
23003,PHL,69
23003,POR,6
23003,IRL,0
